1308.15	649.188
1310.91	650.781
1313.66	647.469
1316.41	653.719
1319.17	658.031
1321.92	661.563
1324.67	665.594
1327.42	668.875
1330.16	673.563
1332.91	676.031
1335.65	686.656
1338.4	690.188
1341.14	696.469
1343.88	701.156
1346.63	700.75
1349.37	710.344
1352.11	712.219
1354.85	716.563
1357.59	720.469
1360.32	725.281
1363.06	729.594
1365.79	730.906
1368.53	734.5
1371.26	739.938
1373.99	744.531
1376.72	751.594
1379.45	753.219
1382.18	763.687
1384.91	763.188
1387.64	762.813
1390.37	776.625
1393.09	775.062
1395.82	782.406
1398.54	793.094
1401.26	793
1403.98	801.969
1406.71	803.813
1409.42	807.344
1412.14	816.719
1414.86	821.187
1417.58	826.125
1420.29	828.5
1423.01	833.531
1425.72	836.5
1428.44	841.281
1431.15	847.688
1433.86	853.25
1436.57	858.938
1439.28	855.938
1441.99	862.938
1444.69	864.312
1447.4	869.875
1450.11	871.812
1452.81	884.5
1455.52	887.219
1458.22	891.531
1460.92	890.844
1463.62	897.938
1466.32	900.594
1469.02	908.281
1471.72	910.094
1474.42	913.719
1477.11	920.25
1479.81	928.469
1482.5	934.625
1485.19	940.937
1487.89	945.687
1490.58	943.5
1493.27	950.125
1495.96	959.094
1498.65	957.687
1501.33	971.969
1504.02	973.938
1506.71	980.407
1509.39	979.313
1512.07	987.625
1514.76	990.313
1517.44	993.875
1520.12	999.875
1522.8	1008.19
1525.48	1006.88
1528.16	1012.44
1530.84	1008.91
1533.51	1025.59
1536.19	1029.19
1538.86	1028.12
1541.54	1040.34
1544.21	1045.63
1546.88	1051.34
1549.55	1055.09
1552.22	1055.72
1554.89	1065.41
1557.56	1067.09
1560.22	1067.38
1562.89	1072.31
1565.56	1091.97
1568.22	1088.28
1570.88	1090.91
1573.55	1097.53
1576.21	1107.69
1578.87	1109.28
1581.53	1115.81
1584.19	1122.91
1586.84	1124.69
1589.5	1133.72
1592.16	1134
1594.81	1135.16
1597.47	1138.03
1600.12	1151.41
1602.77	1149.16
1605.42	1153.91
1608.07	1158.75
1610.72	1173.31
1613.37	1165.91
1616.02	1174.16
1618.66	1181.5
1621.31	1185.44
1623.95	1187
1626.6	1196.75
1629.24	1189.5
1631.88	1197.59
1634.53	1199.25
1637.17	1201.5
1639.8	1217.09
1642.44	1229.84
1645.08	1215.88
1647.72	1222.09
1650.35	1228.59
1652.99	1233.81
1655.62	1240.03
1658.25	1240.81
1660.89	1243.72
1663.52	1247.03
1666.15	1251.41
1668.77	1255.78
1671.4	1260.53
1674.03	1261.13
1676.66	1262.06
1679.28	1276.44
1681.91	1277.5
1684.53	1279.47
1687.15	1285.88
1689.77	1293.22
1692.39	1289.28
1695.02	1304.16
1697.63	1305.06
1700.25	1306.84
1702.87	1315
1705.49	1316.69
1708.1	1318.06
1710.72	1324
1713.33	1323.56
1715.94	1338.72
1718.55	1341.53
1721.16	1348.09
1723.77	1355.44
1726.38	1354.72
1728.99	1363.5
1731.6	1359.44
1734.2	1375.19
1736.81	1367.97
1739.41	1382.25
1742.02	1385.31
1744.62	1384.56
1747.22	1389.59
1749.82	1393.88
1752.42	1395.91
1755.02	1392.5
1757.62	1400.84
1760.22	1405.72
1762.81	1402.44
1765.41	1401.75
1768	1408.38
1770.59	1414.25
1773.19	1410.78
1775.78	1415.75
1778.37	1423.97
1780.96	1421.34
1783.55	1427.5
1786.14	1420.25
1788.72	1421.53
1791.31	1421.63
1793.9	1425.22
1796.48	1430.25
1799.06	1433.63
